Code,Type,Condition,Recovery
-633,hard error,The safety circuit module 2 has notified: 'reference current PT reference.' Safety circuit module 2 faulty,
-634,hard error,The safety circuit module 2 has notified: 'set point PT1 varies,Safety circuit module 2 faulty or controller
-635,hard error,The safety circuit module 2 has notified: 'set point PT2 varies,Safety circuit module 2 faulty or controller
-636,hard error,The safety circuit module 2 has notified: 'Set point PT3 varies,Safety circuit module 2 faulty or controller
-637,hard error,The safety circuit module 2 has notified: 'CAN-communication faulty.' Safety circuit module 2 or controller or CAN bus faulty,
-638,hard error,The safety circuit module 2 has notified: 'fault in NTR driver transistor stage 1,Safety circuit module 2 sees that Mains isolation relay driver transistor stage 1 is faulty. Change controller or module
-639,hard error,The safety circuit module 2 has notified: 'fault in NTR driver transistor stage 2,Safety circuit module 2 sees that Mains isolation relay driver transistor stage 2 is faulty. Change controller or module
-640,hard error,The safety circuit module 2 has notified: 'fault in NTR-answer,Safety circuit module 2 sees that Mains isolation relay does not answer correctly. Change controller or module
-641,hard error,The minimum evaporation is below the min allowed value due to influence of the condensation controller,Possible lack of cooling water/air. Check water and air flow/temperature. Check fans and. water filter. If air cooling check condenser fins are clean
-642,hard error,The pilot has made a restart (but not the active board),Possible Pilot hardware problem.  or static discharge or EMC problem. Check Pilot by replacement. If fault persists.  check all earthing of sensors .  machine.  connecting cables. Single point Earthing. Possible Graphics mode bug in Pilot. Set display to normal mode. Replace software with newest version
-643,hard error,On start-up, the cooling water valve KWV cannot be found. Check wiring to cooling water valve.  check LED lit on its rear side. Check connections to Bus Board. Possible water valve or bus board fault
-644,hard error,The cooling water valve KWV does no longer responds,Check wiring to cooling water valve.  check LED lit on its rear side. Check connections to Bus Board. Possible water valve or bus board or wiring fault
-645,hard error,On start-up, the cooling water valve SWV1 cannot be found. Check wiring to cooling water valve SWV1.  check LED lit on its rear side. Check connections to Bus Board. Possible water valve or bus board or wiring fault
-646,hard error,The cooling water valve SWV1 does no longer responds,Check wiring to cooling water valve SWV1.  check LED lit on its rear side. Check connections to Bus Board. Possible water valve or bus board or wiring fault
-647,hard error,On start-up the cooling water valve SWV2 was not found,Check wiring to cooling water valve SWV2.  check LED lit on its rear side. Check connections to Bus Board. Possible water valve or bus board or wiring fault
-648,hard error,The cooling water valve SWV2 does no longer responds,Check wiring to cooling water valve SWV2.  check LED lit on its rear side. Check connections to Bus Board. Possible water valve or bus board or wiring fault
-649,hard error,A SWV2 is present on the CAN-Bus, although according to the SIM-File it should not be there. Possible SimFile error
-650,hard error,The stepper motor for the water valve 2 says: 'Hardware cannot be found,Check wiring to cooling water valve SWV2.  check LED lit on its rear side. Check connections to Bus Board. Possible water valve or bus board or wiring fault
-651,hard error,The stepper motor for the water valve 2 says: 'Incorrect Sim-File in Module.' Possible incorrect or faulty stepper motor module,
-652,hard error,The stepper motor water valve 2 says:: Wrong Sim-File Version Possible incorrect or faulty stepper motor module,
-653,hard error,The stepper motor water valve 2 says: 'No CAN-communication',Check wiring to cooling water valve SWV2.  check LED lit on its rear side. Check connections to Bus Board. Possible water valve or bus board or wiring fault
-654,hard error,The stepper motor water valve 2 has notified a fault. Possible incorrect or faulty stepper motor module,
-655,hard error,The pressure in the evaporator is too low (< 1,5 bar abs). Possible refrigerant leak or stepper motor problem
-656,hard error,The pump pressure is too low or too high. Sensor faulty. Static pressure in system ,Pump pressure too low or too high. Check sensor by replacement. Check that there is no flow blockage
-657,hard error,The pressure in the return flow is too low or too high. Sensor faulty. Static pressure in system,Return pressure too low or too high. Check sensor by replacement. Check that there is no flow blockage
-658,hard error,The module SMO1 is configured with a controller for the ht stage,
-659,hard error,Stromtest timeout,
-660,hard error,Safety module 3 fault during initialisation,
-661,hard error,Communication with safety module 3 failed,
-662,hard error,An SKM3 is present on the CAN-Bus, although according to the sim file it should not be present
-663,hard error,
-664,hard error,Safety module 3 fault: 'OT PT1',
-665,hard error,Safety module 3 fault: 'Sensor PT1 short circuit',
-666,hard error,Safety module 3 fault: 'Sensor PT1 open circuit',
-667,hard error,Safety module 3 fault: 'Reference current sensor PT1,
-668,hard error,Safety module 3 fault: 'OT Sensor PT2',
-669,hard error,Safety module 3 fault: 'Short circuit sensor PT2',
-670,hard error,Safety module 3 fault: 'Open circuit sensor PT2',
-671,hard error,Safety module 3 fault: 'Reference current PT2,PT2
-672,hard error,Safety module 3 fault: 'OT Sensor PT3',
-673,hard error,Safety module 3 fault: 'Short circuit sensor PT3',
-674,hard error,Safety module 3 fault: 'Open circuit PT3',
-675,hard error,Safety module 3 fault: 'Reference current sensor PT3,
-676,hard error,Safety module 3 fault: 'OT PT Reference',
-677,hard error,Safety module 3 fault: 'Short circuit PT Reference',
-678,hard error,Safety module 3 fault: 'Open circuit PT Reference',
-679,hard error,Safety module 3 fault: 'Reference current PT Reference,
-680,hard error,Safety module 3 fault: 'Set point value PT1 fluctuating,
-681,hard error,Safety module 3 fault: 'Set point value PT2 fluctuating,
-682,hard error,Safety module 3 fault: 'Set point value PT3 fluctuating,
-683,hard error,Safety module 3 fault: 'CAN-communication failed,
-684,hard error,Safety module 3 fault: 'Fault in NTR Stage 1,
-685,hard error,Safety module 3 fault: 'Fault in NTR Stage 2,
-686,hard error,Safety module 3 fault: 'Fault NTR feedback,
-687,hard error,PoKo/ECS Interface should be used, but cannot be found
-688,hard error,Com.G@te and ECS-PoKo-Interface detected,Please disconnect Com.G@te or ECS-PoKo-Interface. Only one of these interfaces are allowed
-689,hard error,OT trip values error,OT trigger values in device EEPROM are different and they must be entered again
-690,hard error,Device data base error,The device data base is obsolete Gerätedatenbankfehler
-691,hard error,Evaporator end sensor from evaporator 2 LT stage is defekt,Superheat in the 2nd evaporator of the LT stage too small
-693,hard error,Circuit breaker pump 2 has tripped,
-694,hard error,Temperature Solid State 1 ventilation too high (over 70 °C),
-695,hard error,Temperature Solid State 2 ventilation too high (over 70 °C),
-696,hard error,Suction gas superheat LT stage too small,
-697,hard error,Feedback from of the two heater contactors KHZ1 or KHZ2 has a fault,
-698,hard error,Check pump seal drip tray,
-699,hard error,Process pump pressure has dropped severely during temperature control,Air / gas in the pump. Leakage. Boiling in fluid. HTF contaminated or de-natured
-710,hard error,
-711,hard error,During the initialisation AIO1 not found,
-712,hard error,AIO1 has been found on the CAN-Bus, although the SIM file is not configured to have one. Module AIO1 reports a fault
-714,hard error,Module AIO1: Hardware fault,
-715,hard error,Module AIO1: Sim file fault,
-716,hard error,
-717,hard error,Module AIO1: CAN communication fault,Das AIO1-Modul meldet: CAN-Kommunikationsfehler
-718,hard error,Module AIO1: SPI0 not defined,
-719,hard error,Module AIO1: SPI1 not defined,
-720,hard error,Module AIO1: Fault SPI Interface,
-721,hard error,Module AIO1: SPI Data register fault,
-722,hard error,Module AIO1: Pt100 AD-converter reports it is busy,Das AIO1 meldet: 'Pt100 AD Wandler meldet Busy'
-723,hard error,Module AIO1: Pt100 AD-converter is on the endstop (full range),
-724,hard error,
-725,hard error,During the initialisation AIO2 not found,
-726,hard error,AIO2 has been found on the CAN-Bus, although the SIM file is not configured to have one
